i2_health,age,household_size,cantril_ladder,r1_1,r1_2,protective_behaviour_nomask_scale,week_number,within_mandate_period,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.0066021765,0.0076158,0.0068902913,0.0070019932,0.0079594795,0.0076740826,0.04695497,0.01580249,0.4002548,0.03077342,0.0079514785,0.040045585,0.008265339,0.021902142,0.015653828,0.05921532,0.0062822294,0.0072106766,0.0080233505,0.008075964,0.0072423634,0.007860936,0.0070333085,0.0050645657,0.0065749623,0.006681849,0.011446503,0.01263379,0.006377223,0.005555035,0.0066924584,0.007409121,0.008170808,0.006671772,0.0072938683,0.0067700604,0.0066878363,0.006671316,0.0064204643,0.008414391,0.0056237048,0.008514054,0.0065781293,0.006904934,0.0063100536,0.0059237033,0.010945886,0.0055601904,0.006242782,0.0064629083,0.006077605,0.010505344,0.006272021,0.006892502,0.007292194,0.005877644,0.0059180087,0.006725005,0.0075453008
0.006873645,0.00797554,0.0070854686,0.0070746276,0.008122562,0.008016603,0.048842937,0.016114047,0.38709486,0.030869357,0.009806386,0.039996754,0.0080935275,0.02209517,0.015917914,0.059550565,0.006634393,0.00775282,0.008354453,0.0077682124,0.0071869106,0.007592336,0.006864115,0.005619874,0.007814626,0.007157051,0.011037837,0.012136466,0.00682534,0.00564368,0.0071851644,0.007376371,0.008256331,0.0066906223,0.008345556,0.0065089483,0.007285453,0.006584527,0.006569679,0.007773137,0.0063208533,0.009011585,0.0064098565,0.0070103793,0.0076012174,0.006709616,0.009685699,0.0058697113,0.0065742345,0.007253779,0.006198109,0.007782391,0.006124394,0.0068458226,0.008788157,0.006097334,0.0064364783,0.0066940766,0.008092469
0.0068462826,0.007775708,0.0070418855,0.0072511216,0.008156029,0.007859336,0.048868798,0.015882464,0.39488888,0.031934153,0.008361472,0.03966259,0.0077746687,0.021964751,0.0154306125,0.058605425,0.0065386957,0.007573011,0.008350871,0.007831444,0.006540564,0.008376668,0.006842646,0.0048689055,0.0070538186,0.006587032,0.010099003,0.013034767,0.006617597,0.005729208,0.0066521494,0.0072700256,0.00815353,0.006445348,0.0078132395,0.006399556,0.007043398,0.0065081813,0.0065518287,0.0071343994,0.006231293,0.0077394126,0.0064723836,0.0068672737,0.008658206,0.006423345,0.011388609,0.0057891062,0.0061636944,0.0067377933,0.0061053396,0.007997266,0.006206857,0.007033771,0.008568552,0.0059323064,0.006053705,0.0076415655,0.0076694177
0.0066925013,0.0077669374,0.007008119,0.0069517996,0.007852944,0.0076173185,0.04832342,0.015867276,0.3977504,0.031733874,0.008605894,0.040070355,0.0077485726,0.021055184,0.014117846,0.057488013,0.0067260917,0.0077263997,0.008365112,0.0079414565,0.006937367,0.007016562,0.006615414,0.004807828,0.0065152566,0.0065825568,0.0109771,0.011786049,0.006623585,0.005799836,0.0068955855,0.007594837,0.008250313,0.006880277,0.0074289893,0.006272306,0.0068474766,0.0067258705,0.0063711,0.009794868,0.0059331083,0.008125725,0.006684452,0.0069493093,0.008380464,0.006138694,0.01153385,0.0061149136,0.0062904814,0.0069289026,0.0062770625,0.008517425,0.006171297,0.0071890117,0.008512467,0.005479322,0.0060906247,0.0070824865,0.00746763
0.0068325507,0.0077244486,0.0070972685,0.007027244,0.00797803,0.0077911746,0.04796456,0.016134255,0.39171344,0.032045618,0.010160213,0.039776053,0.007975309,0.02229147,0.015347499,0.058008995,0.00645431,0.008035626,0.007993538,0.008129727,0.007110613,0.008001024,0.006845063,0.0054272283,0.007169354,0.006788219,0.01086999,0.012640636,0.0065683336,0.0059146187,0.0071771396,0.0071464605,0.007750054,0.0068431767,0.007495999,0.0064348057,0.006942245,0.0067585446,0.006276567,0.008763753,0.0057831393,0.008646364,0.0069727935,0.0069882986,0.00838961,0.006327071,0.008922439,0.005889913,0.0064247986,0.0075000203,0.006250467,0.00811025,0.005721849,0.0069667427,0.008823522,0.0061011086,0.0060549425,0.0069228527,0.0077985306
0.006881652,0.007950815,0.0071521383,0.0072747823,0.008083809,0.007938728,0.048442423,0.016248269,0.38376954,0.030668475,0.008864299,0.040605467,0.0092889285,0.022512488,0.016777556,0.05841212,0.0067797364,0.0076602562,0.0085753,0.007743889,0.007054944,0.007974214,0.0067141196,0.005142511,0.0071449387,0.0068690074,0.0103917755,0.012774371,0.0066928156,0.0059672734,0.00676815,0.007352797,0.007856632,0.0073201535,0.007894316,0.0066555105,0.006772124,0.006856443,0.0064049894,0.009979341,0.0058993623,0.008289693,0.006815412,0.007480799,0.007358355,0.006143773,0.011582964,0.0062488723,0.0064406684,0.008112347,0.006102647,0.006745376,0.0061904816,0.007263447,0.009530143,0.0060905553,0.006146667,0.0072702095,0.008071132
0.006837997,0.0078113913,0.0072141853,0.0071725748,0.008226995,0.0076841773,0.04973748,0.016208408,0.38204822,0.033583898,0.008639232,0.043078765,0.009360927,0.022639835,0.015305562,0.058389477,0.006628103,0.007674449,0.008397247,0.008504813,0.0070092347,0.007603188,0.006405075,0.005035908,0.006746815,0.007038784,0.010686306,0.0124733895,0.0066674957,0.0060037957,0.0072311866,0.0072444496,0.0076194163,0.0064748283,0.007492393,0.0065550637,0.007054717,0.006184461,0.006304019,0.0101427315,0.00629417,0.008438813,0.0062449328,0.006928177,0.0084299315,0.006232809,0.011422472,0.005953623,0.006327715,0.006645784,0.0061578187,0.0087472955,0.006183441,0.007087778,0.00787021,0.0059853466,0.0064077605,0.0076740105,0.007850917
0.006686061,0.0076138205,0.0069630034,0.0069860127,0.007864585,0.00775159,0.048990227,0.015871592,0.40285596,0.032311264,0.007924312,0.040789727,0.007943429,0.021597719,0.014105203,0.05826621,0.0063448115,0.0072338786,0.008098409,0.007874087,0.0068612397,0.007307436,0.006612303,0.005161297,0.0066561424,0.0067047193,0.011213054,0.01261683,0.0063808705,0.005647843,0.0069619464,0.0071541984,0.0076703834,0.006591543,0.007275331,0.0064581702,0.006218562,0.0062624714,0.006386769,0.009916444,0.006153447,0.008475168,0.006539787,0.006688935,0.006751503,0.0060345093,0.009311848,0.0059565585,0.006153654,0.006056176,0.005958127,0.008093465,0.0060056485,0.007198485,0.007518465,0.0058296504,0.006103748,0.007086969,0.0079544075
0.006550244,0.0075587546,0.0068253707,0.0069054137,0.007923208,0.0075422004,0.047555964,0.015349329,0.40306395,0.032563597,0.010186116,0.04484199,0.008023032,0.020290114,0.013346408,0.060375817,0.0062949094,0.0073272455,0.00808885,0.007460283,0.0066495365,0.0074220137,0.0069266153,0.00490475,0.0066730543,0.0069215726,0.0098948,0.012134408,0.006137107,0.0056042806,0.0069096163,0.0069512534,0.008269736,0.006813079,0.0074973283,0.00638053,0.006566133,0.0062826322,0.0061551263,0.009828573,0.0060667996,0.0076891053,0.0060560773,0.0071796207,0.007104515,0.0055376794,0.009649093,0.006081225,0.0060469927,0.0058133756,0.0058915913,0.0074839154,0.0054575256,0.006513048,0.008427647,0.0057960483,0.005924819,0.0068631605,0.0074228337
0.0068199607,0.007854891,0.0071382127,0.007139196,0.007979571,0.007827654,0.04969491,0.015922004,0.3797715,0.033492405,0.008913391,0.045070503,0.008750781,0.022382343,0.013266523,0.061429303,0.006630989,0.008117201,0.008867859,0.0079533635,0.0073906104,0.008045414,0.0068789404,0.00546194,0.0071762116,0.007117604,0.011879541,0.012500241,0.006344231,0.005780983,0.0070021846,0.0076933857,0.008511687,0.0069914456,0.0077978065,0.006569545,0.0075584208,0.006362429,0.0066719237,0.008085449,0.0058621736,0.007939624,0.006547933,0.0075600245,0.007189309,0.0061088386,0.0081624165,0.0059883446,0.006403271,0.0074596736,0.0062939255,0.009407901,0.0057157194,0.007032754,0.007848601,0.006101701,0.0062617296,0.0073765856,0.007896824
0.006948297,0.0076589985,0.007062837,0.006927565,0.008089185,0.0077203116,0.04894001,0.015622841,0.39020163,0.032037675,0.008262953,0.038375758,0.008067724,0.022012597,0.015748728,0.062251065,0.0066014067,0.0075420733,0.008225104,0.007921818,0.00690082,0.007835398,0.0068306862,0.005109502,0.0076748696,0.0067750667,0.010530826,0.012377889,0.006597816,0.00565533,0.0068302955,0.007495078,0.008236691,0.006747965,0.007555142,0.0066292756,0.006865723,0.0067148036,0.006182157,0.0087312255,0.005877587,0.007970686,0.006356967,0.006670159,0.008239429,0.0060549914,0.009720787,0.006046531,0.00637343,0.007869379,0.006151189,0.00921056,0.005907406,0.0069413926,0.008516419,0.005799583,0.005955339,0.0075953044,0.008247786
0.0064700735,0.007447718,0.006712665,0.0068109953,0.0075864135,0.007276586,0.046106055,0.015238346,0.4188247,0.030378805,0.00813181,0.03748376,0.007255126,0.021659171,0.013988825,0.059347846,0.0061496855,0.0071974397,0.008092963,0.0074493815,0.006758271,0.00706931,0.00627023,0.005377261,0.006582565,0.0063845427,0.009901111,0.012603026,0.006046654,0.005427738,0.006717208,0.00770141,0.008084637,0.0067354837,0.007059604,0.0060342383,0.006058774,0.006095537,0.0059043164,0.009786792,0.006028741,0.008357728,0.006350953,0.006766347,0.0061069857,0.0057920483,0.011518697,0.005561891,0.0057423846,0.006866776,0.00568788,0.0077774925,0.0057125036,0.006594074,0.007422268,0.005746088,0.005853437,0.0065937894,0.0073128776
